Offer SKU,Product SKU,Category code,Category Label,Product,Offer state,Price,Quantity,Alert threshold,Logistic Class,Activated,Available Start Date,Available End Date
9321977725958,MKL_1871577_16,apparel & footwear > apparel > shorts,Shorts,"Ocean & Earth Mens Vortex 19"" Wavewalker Short Charcoal - A-Charcoal Variant Size Value 30US",New,53.95,32,,SMW,yes,,
9321977700917,MKL_1871577_63,apparel & footwear > swimwear > rash vests,Rash Vests,Ocean & Earth Ladies Champiette Cap/S Rashie - White Variant Size Value 10,New,44.95,16,,SMW,yes,,
9321977700924,MKL_1871588_7,apparel & footwear > swimwear > rash vests,Rash Vests,Ocean & Earth Ladies Champiette Cap/S Rashie - White Variant Size Value 12,New,44.95,10,,SMW,yes,,
9321977702270,MKL_1871577_51,apparel & footwear > swimwear > rash vests,Rash Vests,Ocean & Earth Ladies Cali Cruise L/S Crop Rash Top - Black Variant Size Value 12US,New,40.95,9,,SMW,yes,,
9321977712309,MKL_1866324_279,apparel & footwear > apparel > shorts,Shorts,"Ocean & Earth Mens Drifter 19"" Walkshort - Sand Variant Size Value 36US",New,47.95,15,,SMW,yes,,
9321977720472,MKL_1871577_65,apparel & footwear > apparel > shorts,Shorts,"Ocean & Earth Mens Reef 19"" Boardshort Multi - C-Multi Variant Size Value 36",New,53.95,33,,SMW,yes,,
9321977702263,MKL_1871588_25,apparel & footwear > swimwear > rash vests,Rash Vests,Ocean & Earth Ladies Cali Cruise L/S Crop Rash Top - Black Variant Size Value 10US,New,40.95,6,,SMW,yes,,
9321977712453,MKL_1866207_218,apparel & footwear > apparel > shorts,Shorts,"Ocean & Earth Mens Jacked 19"" Walkshort Light Grey - LightGrey Variant Size Value 36US",New,51.95,5,,SMW,yes,,
9321977720595,MKL_1871588_33,apparel & footwear > apparel > shorts,Shorts,"Ocean & Earth Mens Tropicana 19"" Boardshort Multi - F-Multi Variant Size Value 32",New,53.95,14,,SMW,yes,,
9321977720199,MKL_1871577_9,apparel & footwear > apparel > shorts,Shorts,Ocean & Earth Mens Blaze 20' Boardshort Multi - B-Multi Variant Size Value 36,New,47.95,4,,SMW,yes,,
9321977720151,MKL_1871577_38,apparel & footwear > apparel > shorts,Shorts,Ocean & Earth Mens Blaze 20' Boardshort Multi - B-Multi Variant Size Value 30,New,47.95,18,,SMW,yes,,
9321977720403,MKL_1871577_28,apparel & footwear > apparel > shorts,Shorts,"Ocean & Earth Mens Oasis 19"" Boardshort Multi - A-Multi Variant Size Value 36",New,53.95,24,,SMW,yes,,
9321977720458,MKL_1871588_4,apparel & footwear > apparel > shorts,Shorts,"Ocean & Earth Mens Reef 19"" Boardshort Multi - C-Multi Variant Size Value 33",New,53.95,14,,SMW,yes,,
9321977720465,MKL_1871588_11,apparel & footwear > apparel > shorts,Shorts,"Ocean & Earth Mens Reef 19"" Boardshort Multi - C-Multi Variant Size Value 34",New,53.95,11,,SMW,yes,,
9321977720847,MKL_1871588_17,apparel & footwear > apparel > shorts,Shorts,"Ocean & Earth Mens Tropicana 19"" Boardshort Multi - F-Multi Variant Size Value 38",New,53.95,18,,SMW,yes,,
9321977720168,MKL_1871577_10,apparel & footwear > apparel > shorts,Shorts,Ocean & Earth Mens Blaze 20' Boardshort Multi - B-Multi Variant Size Value 32,New,47.95,11,,SMW,yes,,
9321977702331,MKL_1866324_237,apparel & footwear > swimwear > rash vests,Rash Vests,Ocean & Earth Ladies Mini Crop Rash Singlet - Black Variant Size Value 12US,New,34.95,14,,SMW,yes,,
9321977702355,MKL_1871577_8,apparel & footwear > swimwear > rash vests,Rash Vests,Ocean & Earth Ladies Mini Crop Rash Singlet - Black Variant Size Value 16US,New,34.95,6,,SMW,yes,,
9321977712422,MKL_1870604_153,apparel & footwear > apparel > shorts,Shorts,"Ocean & Earth Mens Jacked 19"" Walkshort Light Grey - LightGrey Variant Size Value 32US",New,51.95,9,,SMW,yes,,
9321977702324,MKL_1871577_50,apparel & footwear > swimwear > rash vests,Rash Vests,Ocean & Earth Ladies Mini Crop Rash Singlet - Black Variant Size Value 10US,New,34.95,21,,SMW,yes,,
9321977702317,MKL_1866207_202,apparel & footwear > swimwear > rash vests,Rash Vests,Ocean & Earth Ladies Mini Crop Rash Singlet - Black Variant Size Value 8US,New,34.95,19,,SMW,yes,,
